id,date,word_hanji,word_tailo,word_description,sentence_hanji,sentence_zh,season,month_theme,theme,source
93,2026-09-01,白露,Pe̍h-lōo,二十四節氣之一，天氣開始明顯轉涼。,白露過了，早起穿衫就要加一件矣。,白露過了，早上穿衣服就要多加一件了。,autumn,early_autumn,nature,
94,2026-09-02,露水,Lōo-tsuí,清晨草葉上凝結的水珠。,草仔頂的露水，日頭一出來就無去矣。,草上的露水，太陽一出來就不見了。,autumn,early_autumn,nature,
95,2026-09-03,番薯,Han-tsî,地瓜，台灣常見的秋收作物。,番薯挖起來，一粒一粒圓圓的，手都是土。,地瓜挖起來，一顆顆圓圓的，手都是泥土。,autumn,early_autumn,food,
96,2026-09-04,蟋蟀仔,Sih-sut-á,蟋蟀，秋夜鳴叫的昆蟲。,蟋蟀叫了，暗暝的聲音換人矣，蟬仔退去矣。,蟋蟀叫了，夜晚的聲音換人了，蟬退場了。,autumn,early_autumn,nature,
97,2026-09-05,芋仔,Ōo-á,芋頭，秋天收成的塊莖作物。,中秋的芋仔排骨湯，煮到軟軟，阿嬤功夫。,中秋的芋頭排骨湯，煮得軟軟的，是阿嬤的手藝。,autumn,early_autumn,food,
98,2026-09-06,風絲仔,Hong-si-á,微微仔的涼風。,風絲仔一陣仔過，衫仔有淡薄仔舊味。,秋風一陣吹過，衣服有淡淡的舊味。,autumn,early_autumn,nature,
99,2026-09-07,塗豆,Thôo-tāu,塗豆，就是花生，秋天重要的農作物。,塗豆挖起來曬佇埕仔，一排一排真整齊。,花生挖起來曬在院子裡，一排一排很整齊。,autumn,early_autumn,food,
100,2026-09-08,桂花,Kuì-hue,九月前後盛開、香氣濃郁的花。,桂花香飄過來，鼻著就知秋天到矣。,桂花香飄過來，聞到就知道秋天到了。,autumn,early_autumn,nature,
101,2026-09-09,文旦,Bûn-tàn,柚子的一種，中秋前後成熟。,文旦剝開，白白的瓣仔，汁多清甜。,文旦剝開，白白的果瓣，汁多清甜。,autumn,early_autumn,food,
102,2026-09-10,霧,Bū,清晨山間或田野的霧氣。,透早的霧罩佇田裡，遠遠的山看無去矣。,清晨的霧籠罩在田野上，遠遠的山看不見了。,autumn,early_autumn,nature,
103,2026-09-11,天頂,Thinn-tíng,天上、天空（台語特有說法）。,秋天的天頂特別高，雲嘛走甲遠。,秋天的天空特別高，雲也飄得很遠。,autumn,early_autumn,nature,
