id,date,word_hanji,word_tailo,word_description,sentence_hanji,sentence_zh,season,month_theme,theme,source
1,2026-06-01,鳳凰木,Hōng-hông-bo̍k,夏天開紅花的大樹，校園常見。,鳳凰花開的時，嘛是離別的時。,鳳凰花開的時候，也是離別的時候。,early_summer,graduation,nature,
2,2026-06-02,榕仔,Tshîng-á,榕樹，氣根濟、樹蔭闊。,下課了後，逐家攏聚佇榕仔跤。,下課後，大家都聚在榕樹下。,early_summer,graduation,place,
3,2026-06-03,校園,Hāu-hn̂g,學校裡的環境與範圍。,下課鐘聲猶閣響佇校園內。,下課鐘聲依然迴盪在校園裡。,early_summer,graduation,place,
4,2026-06-04,黃酸雨,N̂g-sng-hōo,初夏連續不斷的細雨。,黃酸雨的日子總是淡薄仔愁。,梅雨季的日子總有些憂鬱。,early_summer,graduation,weather,
5,2026-06-05,雨傘,Hōo-suànn,下雨時遮雨用的傘。,雨傘下的兩个人行甲真慢。,傘下的兩個人走得很慢。,early_summer,graduation,object,
6,2026-06-06,力草,La̍t-tsháu,力氣、體力。,少年人力草飽，規工做攏袂忝。,年輕人體力充沛，做一整天都不累。,early_summer,graduation,feeling,
7,2026-06-07,同窗,Tâng-tshong,一起上課的同學、朋友。,同窗三年，轉眼就欲分開。,同學三年，轉眼就要分開。,early_summer,graduation,people,
8,2026-06-08,相送,Sio-sàng,送別、陪人走到分開的地方。,月台邊有人輕聲相送。,月台邊有人輕聲送別。,early_summer,graduation,feeling,
9,2026-06-09,火車,Hué-tshia,鐵路列車。,火車慢慢仔駛出車站。,火車緩緩駛離車站。,early_summer,graduation,travel,
10,2026-06-10,月台,Gue̍h-tâi,火車站供旅客上下車的站台。,月台頂的風吹甲人心酸。,月台上的風讓人有點感傷。,early_summer,graduation,place,
11,2026-06-11,行李,Hîng-lí,出門時攜帶的袋子或箱子。,行李收好勢，準備出發。,收好行李，準備出發。,early_summer,graduation,travel,
12,2026-06-12,遠足,Uán-tsiok,學校安排的郊遊踏青活動。,遠足彼工，規班坐火車去看海，便當食甲真芳。,遠足那天，全班搭火車去看海，便當吃得真香。,early_summer,graduation,travel,
13,2026-06-13,海邊,Hái-pinn,靠近海的地方。,海邊的風有自由的味。,海邊的風有自由的味道。,early_summer,graduation,place,
14,2026-06-14,風吹,Hong-tshue,風吹來、吹風。,坐佇堤防頂吹風。,坐在堤防上吹風。,early_summer,graduation,feeling,
15,2026-06-15,夕陽,Si̍k-iûnn,傍晚西邊的太陽，日落時的景色。,夕陽慢慢仔沉落海。,夕陽慢慢沉入海中。,early_summer,graduation,nature,
16,2026-06-16,冊,Tsheh,書本、冊子。,冊內寫滿彼年的故事。,書裡寫滿那年的故事。,early_summer,graduation,object,
17,2026-06-17,出業,Tshut-gia̍p,出業，就是畢業，離開學校。,出業彼工，鳳凰花紅甲規欉，逐家毋甘相辭。,畢業那天，鳳凰花紅了滿樹，大家不捨道別。,early_summer,graduation,object,
18,2026-06-18,相片,Sio-phìnn,照片，記錄某個時刻的圖像。,相片留落青春的模樣。,照片留下青春的模樣。,early_summer,graduation,object,
19,2026-06-19,約束,Iok-sok,約定、說好的承諾。,咱講好後擺閣見。,我們說好以後再見。,early_summer,graduation,feeling,
20,2026-06-20,閃爍,Siám-sih,光一閃一閃。,暗時的星閃爍，一明一暗，看袂厭。,夜晚的星星閃爍著，一明一暗，看不膩。,early_summer,graduation,nature,
21,2026-06-21,溪仔,Khe-á,小溪、小河。,溪仔水慢慢仔流。,小溪水緩緩流動。,early_summer,graduation,nature,
22,2026-06-22,澹漉漉,Tâm-lok-lok,澹甲規身軀滴水。,西北雨拍過，規條街澹漉漉，水沿溝直直流。,午後雷雨打過，整條街濕漉漉，水沿著溝直流。,early_summer,graduation,weather,
23,2026-06-23,路口,Lōo-kháu,路與路交叉的地方。,每一个路口攏是新的開始。,每個路口都是新的開始。,early_summer,graduation,place,
24,2026-06-24,火金蛄,Hué-kim-koo,螢火蟲。,暗時的田岸有火金蛄飛來飛去。,夜晚的田邊有螢火蟲飛舞。,early_summer,graduation,nature,
25,2026-06-25,離別,Lî-pia̍t,分開、告別。,離別毋是結束。,離別不是結束。,early_summer,graduation,feeling,
26,2026-06-26,久見,Kiú-kiàn,久未見面、久別重逢。,老朋友踫面，頭一句就是「久見」。,老朋友碰面，第一句就是「好久不見」。,early_summer,graduation,feeling,
27,2026-06-27,影,Iánn,影、影子。,影透過樹葉慢慢仔移動。,影子透過樹葉緩緩移動。,early_summer,graduation,nature,
28,2026-06-28,順風,Sūn-hong,順風，祝人路途平安順利。,車欲開矣，伊揮手講順風，目箍紅紅。,車要開了，她揮手說一路順風，眼眶紅紅的。,early_summer,graduation,travel,
29,2026-06-29,孤鳥,Koo-tsiáu,孤單的鳥；孤獨的人。,一隻孤鳥停佇電線，規個下晡攏無振動。,一隻孤鳥停在電線上，整個下午都沒動。,early_summer,graduation,nature,
30,2026-06-30,生活,Sing-ua̍h,日常的起居、過日子。,願逐家攏有歡喜的生活。,願大家都有愉快的新生活。,early_summer,graduation,feeling,
